Item_id,Item_Name,Item_Calories,Item_Protein,Menu_id
1,Turkey_Sausage_Taco,210,6,1
2,Belgian_Waffle,300,4,1
3,Honey_Chia_Pudding,140,3,1
4,Buffalo_Cauliflower_Pizza,290,9,7
5,Garlic_Asiago_Roll,410,13,7
6,Halal_Grilled_Herb_Chicken,330,18,7
7,Penne,100,2,13
8,Char_Grilled_Turkey_Burger,350,22,13
9,Crinkle_French_Fries,120,1,13
10,Turkey_Sausage_Patty,90,7,2
11,Crispy_Tater_Tots,90,0,2
12,Berry_Smoothie,180,1,2
13,Vegetable_Soup,80,2,8
14,White_Dinner_Roll,100,5,8
15,Crunchy_Corn_Dogs,300,13,8
16,Vegetable_Soup,80,2,14
17,Crinkle_French_Fries,120,1,14
18,Pepperoni_Pizza,280,13,14
19,Roasted_Garlic_Potatoes,80,2,5
20,Cottage_Cheese,45,7,5
21,Spiced_Breakfast_Quinoa,250,9,5
22,Chile_Roasted_Corn,130,4,11
23,Pimento_Mac_And_Cheese,240,9,11
24,Pepperoni_Pizza,280,13,11
25,Sesame_Spinach,90,4,17
26,Sweet_And_Sour_Meatballs,160,8,17
27,Fried_Garlic_Yellow_Rice,170,4,17
28,Scrambled_Eggs,90,8,6
29,Turkey_Sausage_Patty,90,7,6
30,Blueberry_Buttermilk_Pancakes,90,2,6
31,Pork_Ramen,330,22,12
32,Ginger_Garlic_Broccoli,40,2,12
33,Shredded_Chicken_With_Chermoula_Sauce,120,8,12
34,Pork_Ramen,330,22,18
35,Battered_Cod,120,8,18
36,Brazilian_Collard_Greens,30,1,18
37,Onion_Cheddar_Omelet,289,20,1
38,Apple_Pistachio_Oatmeal,300,14,2
39,Pineapple_Pancakes,328,11,3
40,Black_Bean_Breakfast_Taco,460,22,4
41,Peach_Chia_Yogurt_Parfait,252,19,5
42,Ham_Egg_Biscuit_Sandwich,535,23,6
43,Carnitas_Street_Tacos,442,26,7
44,Grilled_Chicken_Caesar_Salad,422,26,8
45,Pesto_Salmon_Wrap,589,34,9
46,Lemon_Herb_Chickpea_Rice_Bowl,697,19,10
47,Beef_Burger,770,16,11
48,Black_Bean_Soup,354,13,12
49,Vegetable_Tomato_Basil_Linguine,578,21,13
50,Tofu_Mashed_Potatoes_Dinner,536,30,14
51,Black_Bean_Salsa_Verde_Enchiladas,518,19,15
52,Lamb_Mediterranean_Plate,792,38,16
53,Garlic_Parmesan_Chicken_Quinoa_Plate,802,45,17
54,Vegetable_Massaman_Curry,823,25,18
55,Carrot_Mozzarella_Omelet,295,28,1
56,Mango_Pecan_Oatmeal,282,14,2
57,Banana_French_Toast,493,7,3
58,Turkey_Sausage_Breakfast_Taco,389,16,4
59,Pineapple_Honey_Yogurt_Parfait,182,16,5
60,Egg_Biscuit_Sandwich,472,20,6
61,Beef_Sandwich,439,32,7
62,House_Black_Bean_Soup,339,7,8
63,Tofu_Alfredo_Rotini,460,26,9
64,Campus_Carnitas_Street_Tacos,622,17,10
65,Black_Bean_Ranch_Salad,413,19,11
66,Buffalo_Salmon_Wrap,622,22,12
67,Lentil_Red_Chile_Enchiladas,526,14,13
68,Vegetable_Gyro_Plate,537,16,14
69,Pesto_Pork_Rice_Plate,647,22,15
70,Chicken_Red_Curry,724,16,16
71,Tofu_Vegetable_Stir_Fry,458,26,17
72,Chicken_Ramen,527,24,18
73,Zucchini_Swiss_Egg_Bowl,296,25,1
74,Strawberry_Walnut_Oatmeal,403,12,2
75,Peach_Pancakes,338,13,3
76,Black_Bean_Breakfast_Burrito,445,15,4
77,Banana_Honey_Yogurt_Parfait,274,14,5
78,Tofu_Egg_Biscuit_Sandwich,394,24,6
79,Lentil_Lemon_Tahini_Salad,507,14,7
80,Pesto_Black_Bean_Wrap,629,19,8
81,Cilantro_Lime_Beef_Rice_Bowl,581,17,9
82,Black_Bean_Sandwich,584,24,10
83,Lentil_Soup,323,16,11
84,Vegetable_Marinara_Penne,644,31,12
85,Tomato_Basil_Pork_Rice_Plate,706,33,13
86,Shrimp_Red_Curry,637,38,14
87,Shrimp_Vegetable_Stir_Fry,661,27,15
88,Mushroom_Ramen,624,27,16
89,Tofu_Tomato_Basil_Linguine,644,34,17
90,Chicken_Mashed_Potatoes_Dinner,469,42,18
91,Zucchini_Parmesan_Omelet,366,22,1
92,Strawberry_Pistachio_Oatmeal,334,14,2
93,Peach_Waffles,329,7,3
94,Campus_Black_Bean_Breakfast_Burrito,372,16,4
95,Strawberry_Honey_Yogurt_Parfait,261,12,5
96,Turkey_Sausage_Biscuit_Sandwich,459,27,6
97,Chicken_Noodle_Soup,211,14,7
98,Vegetable_Alfredo_Rotini,685,26,8
99,Fish_Street_Tacos,528,20,9
100,Chickpea_Balsamic_Salad,303,20,10
101,Caesar_Chicken_Wrap,560,14,11
102,Ginger_Soy_Turkey_Rice_Bowl,493,27,12
103,Chicken_Vegetable_Stir_Fry,680,23,13
104,Campus_Pork_Ramen,744,30,14
105,Tofu_Creamy_Pesto_Penne,540,30,15
106,Salmon_Mashed_Potatoes_Dinner,687,38,16
107,Black_Bean_Tomatillo_Enchiladas,542,23,17
108,Beef_Mediterranean_Plate,875,29,18
